Trial 3:3back,Trial 5:3back
35.228,35.968
35.194,35.932
35.158,35.901
35.12,35.875
35.08,35.853
35.038,35.837
34.995,35.826
34.952,35.819
34.909,35.816
34.866,35.818
34.824,35.823
34.782,35.832
34.741,35.843
34.7,35.855
34.659,35.869
34.619,35.883
34.579,35.896
34.54,35.909
34.501,35.92
34.464,35.929
34.429,35.936
34.395,35.941
34.363,35.942
34.332,35.94
34.304,35.934
34.278,35.924
34.253,35.909
34.231,35.891
34.211,35.869
34.193,35.843
34.177,35.815
34.162,35.783
34.148,35.748
34.135,35.71
34.123,35.669
34.11,35.625
34.097,35.579
34.084,35.532
34.07,35.485
34.054,35.438
34.037,35.392
34.018,35.347
33.998,35.304
33.977,35.26
33.954,35.218
33.929,35.176
33.903,35.134
33.876,35.093
33.849,35.052
33.821,35.012
33.791,34.973
33.761,34.933
33.729,34.893
33.697,34.853
33.664,34.811
33.631,34.769
33.597,34.726
33.564,34.682
33.53,34.637
33.496,34.592
33.462,34.548
33.429,34.505
33.398,34.462
33.367,34.421
33.339,34.382
33.312,34.343
33.288,34.305
33.268,34.268
33.251,34.231
33.239,34.195
33.233,34.158
33.234,34.122
33.243,34.086
33.261,34.05
33.289,34.015
33.326,33.981
33.375,33.947
33.433,33.915
33.503,33.883
33.583,33.851
33.672,33.82
33.77,33.79
33.876,33.76
33.987,33.73
34.104,33.702
34.223,33.674
34.345,33.646
34.467,33.62
34.587,33.594
34.705,33.568
34.819,33.544
34.928,33.519
35.029,33.495
35.123,33.471
35.208,33.447
35.283,33.422
35.348,33.397
35.403,33.372
35.447,33.347
35.481,33.323
35.505,33.3
35.52,33.279
35.525,33.26
35.522,33.242
35.512,33.226
35.496,33.211
35.475,33.196
35.45,33.181
35.425,33.165
35.399,33.147
35.373,33.127
35.349,33.105
35.327,33.081
35.308,33.054
35.292,33.026
35.278,32.997
35.267,32.966
35.259,32.935
35.253,32.903
35.25,32.871
35.248,32.839
35.249,32.808
35.251,32.779
35.255,32.753
35.259,32.731
35.264,32.714
35.269,32.704
35.273,32.703
35.276,32.712
35.276,32.732
35.275,32.764
35.272,32.812
35.267,32.875
35.26,32.956
35.252,33.054
35.244,33.171
35.234,33.307
35.224,33.461
35.213,33.632
35.201,33.82
35.189,34.024
35.175,34.241
35.161,34.47
35.145,34.707
35.129,34.949
35.113,35.194
35.097,35.438
35.082,35.678
35.068,35.91
35.055,36.133
35.045,36.344
35.037,36.541
35.032,36.721
35.03,36.886
35.031,37.033
35.034,37.162
35.039,37.275
35.046,37.371
35.055,37.45
35.065,37.514
35.075,37.563
35.086,37.598
35.095,37.62
35.103,37.632
35.109,37.634
35.111,37.628
35.109,37.617
35.104,37.6
35.095,37.579
35.081,37.557
35.064,37.533
35.044,37.509
35.02,37.485
34.994,37.463
34.965,37.443
34.935,37.425
34.905,37.409
34.873,37.396
34.843,37.384
34.812,37.375
34.783,37.366
34.754,37.358
34.726,37.349
34.698,37.34
34.67,37.328
34.642,37.314
34.614,37.298
34.585,37.278
34.556,37.256
34.527,37.231
34.499,37.204
34.472,37.174
34.446,37.143
34.421,37.11
34.398,37.076
34.377,37.041
34.357,37.006
34.34,36.971
34.326,36.938
34.313,36.906
34.302,36.877
34.294,36.851
34.287,36.828
34.281,36.808
34.277,36.791
34.274,36.777
34.271,36.766
34.268,36.758
34.266,36.754
34.264,36.752
34.262,36.753
34.259,36.757
34.256,36.763
34.253,36.769
34.25,36.776
34.247,36.782
34.245,36.788
34.243,36.792
34.242,36.795
34.242,36.796
34.242,36.794
34.243,36.789
34.243,36.781
34.243,36.768
34.243,36.752
34.242,36.732
34.239,36.708
34.235,36.68
34.229,36.65
34.221,36.616
34.213,36.58
34.204,36.542
34.195,36.502
34.186,36.462
34.176,36.42
34.167,36.378
34.157,36.335
34.146,36.293
34.135,36.25
34.122,36.207
34.109,36.165
34.096,36.123
34.085,36.082
34.077,36.04
34.074,35.999
34.078,35.958
34.089,35.916
34.111,35.872
34.143,35.827
34.187,35.78
34.243,35.732
34.311,35.682
34.39,35.632
34.48,35.58
34.581,35.528
34.69,35.476
34.806,35.423
34.927,35.37
35.052,35.317
35.177,35.263
35.301,35.21
35.42,35.158
35.533,35.107
35.639,35.058
35.734,35.01
35.819,34.965
35.893,34.922
35.953,34.88
36.002,34.841
36.038,34.803
36.061,34.767
36.072,34.731
36.073,34.696
36.063,34.662
36.044,34.628
36.018,34.593
35.986,34.558
35.949,34.522
35.908,34.486
35.865,34.45
35.822,34.412
35.779,34.373
35.737,34.334
35.698,34.295
35.662,34.256
35.629,34.218
35.6,34.181
35.576,34.145
35.555,34.112
35.539,34.081
35.526,34.052
35.516,34.025
35.508,34.001
35.501,33.979
35.495,33.959
35.489,33.939
35.481,33.919
35.473,33.899
35.462,33.879
35.449,33.858
35.434,33.837
35.416,33.816
35.395,33.793
35.371,33.769
35.344,33.744
35.314,33.716
35.281,33.688
35.246,33.657
35.208,33.626
35.169,33.593
35.129,33.56
35.088,33.527
35.048,33.495
35.009,33.464
34.973,33.436
34.939,33.412
34.908,33.392
34.881,33.378
34.858,33.372
34.839,33.374
34.825,33.388
34.815,33.414
34.81,33.454
34.81,33.511
34.814,33.584
34.822,33.676
34.833,33.787
34.848,33.916
34.865,34.064
34.882,34.231
34.9,34.414
34.917,34.613
34.933,34.825
34.946,35.048
34.956,35.28
34.964,35.517
34.968,35.757
34.968,35.996
34.966,36.231
34.961,36.459
34.955,36.677
34.949,36.882
34.943,37.073
34.937,37.248
34.933,37.405
34.929,37.544
34.926,37.663
34.924,37.764
34.922,37.847
34.919,37.911
34.916,37.96
34.912,37.993
34.907,38.012
34.899,38.019
34.888,38.015
34.876,38.001
34.861,37.98
34.845,37.954
34.828,37.922
34.811,37.888
34.795,37.852
34.78,37.814
34.768,37.776
34.759,37.739
34.752,37.702
34.748,37.667
34.747,37.633
34.749,37.601
34.754,37.57
34.76,37.54
34.768,37.51
34.776,37.482
34.786,37.453
34.795,37.425
34.805,37.398
34.814,37.37
34.823,37.341
34.831,37.312
34.839,37.281
34.845,37.248
34.85,37.212
34.854,37.175
34.856,37.135
34.857,37.093
34.856,37.05
34.855,37.007
34.852,36.963
34.849,36.921
34.843,36.88
34.833,36.841
34.82,36.804
34.802,36.77
34.778,36.737
34.748,36.706
34.711,36.677
34.668,36.65
34.619,36.626
34.564,36.603
34.504,36.583
34.44,36.564
34.372,36.548
34.303,36.533
34.234,36.52
34.164,36.508
34.096,36.497
34.031,36.487
33.968,36.478
33.909,36.468
33.855,36.459
33.805,36.448
33.759,36.436
33.717,36.423
33.68,36.407
33.647,36.388
33.618,36.367
33.595,36.342
33.577,36.314
33.568,36.281
33.567,36.245
33.576,36.206
33.596,36.163
33.627,36.117
33.672,36.069
33.729,36.018
33.801,35.964
33.886,35.91
33.986,35.855
34.099,35.799
34.224,35.744
34.359,35.688
34.503,35.633
34.654,35.579
34.809,35.524
34.967,35.471
35.124,35.418
35.279,35.365
35.429,35.312
35.573,35.261
35.709,35.21
35.834,35.16
35.947,35.112
36.048,35.064
36.134,35.017
36.204,34.97
