Trial 1:0back,Trial 6:0back
32.862,34.755
32.839,34.676
32.838,34.597
32.861,34.517
32.91,34.436
32.985,34.356
33.086,34.275
33.211,34.195
33.358,34.115
33.523,34.037
33.704,33.961
33.896,33.886
34.096,33.813
34.298,33.741
34.5,33.672
34.698,33.604
34.887,33.539
35.066,33.475
35.232,33.413
35.384,33.351
35.52,33.29
35.641,33.229
35.746,33.168
35.837,33.107
35.913,33.046
35.976,32.984
36.027,32.924
36.067,32.865
36.098,32.808
36.119,32.754
36.13,32.703
36.133,32.657
36.126,32.617
36.109,32.583
36.083,32.557
36.048,32.542
36.003,32.54
35.948,32.552
35.885,32.58
35.814,32.626
35.735,32.691
35.65,32.778
35.559,32.886
35.463,33.017
35.364,33.17
35.263,33.343
35.161,33.536
35.059,33.745
34.957,33.969
34.856,34.203
34.756,34.445
34.657,34.689
34.557,34.932
34.457,35.169
34.355,35.398
34.252,35.614
34.148,35.815
34.041,35.997
33.931,36.161
33.82,36.303
33.707,36.424
33.592,36.523
33.476,36.599
33.359,36.653
33.243,36.686
33.128,36.699
33.014,36.695
32.901,36.674
32.79,36.639
32.68,36.591
32.571,36.533
32.465,36.466
32.362,36.392
32.261,36.312
32.164,36.231
32.069,36.148
31.978,36.066
31.889,35.986
31.803,35.909
31.719,35.837
31.638,35.77
31.561,35.709
31.486,35.655
31.415,35.607
31.347,35.565
31.282,35.529
31.221,35.497
31.162,35.469
31.108,35.444
31.059,35.421
31.015,35.398
30.976,35.376
30.944,35.353
30.917,35.328
30.897,35.3
30.882,35.268
30.873,35.232
30.868,35.192
30.867,35.148
30.87,35.101
30.877,35.05
30.888,34.997
30.901,34.942
30.916,34.885
30.933,34.829
30.951,34.774
30.968,34.72
30.984,34.668
30.997,34.618
31.006,34.572
31.01,34.528
31.011,34.489
31.006,34.454
30.997,34.423
30.984,34.399
30.966,34.379
30.945,34.366
30.92,34.358
30.893,34.355
30.864,34.357
30.834,34.363
30.805,34.372
30.778,34.383
30.754,34.394
30.733,34.406
30.716,34.416
30.705,34.423
30.699,34.427
30.698,34.427
30.703,34.421
30.713,34.411
30.729,34.396
30.749,34.375
30.772,34.349
30.799,34.318
30.828,34.282
30.857,34.241
30.886,34.196
30.913,34.147
30.937,34.094
30.957,34.039
30.973,33.981
30.983,33.921
30.988,33.86
30.986,33.797
30.977,33.733
30.961,33.667
30.939,33.601
30.912,33.533
30.88,33.464
30.845,33.394
30.809,33.323
30.774,33.25
30.742,33.176
30.717,33.1
30.702,33.024
30.699,32.948
30.711,32.872
30.742,32.796
30.793,32.723
30.867,32.651
30.964,32.582
31.085,32.515
31.229,32.453
31.396,32.394
31.581,32.339
31.783,32.288
31.997,32.241
32.221,32.198
32.449,32.16
32.677,32.125
32.902,32.092
33.12,32.063
33.326,32.037
33.519,32.013
33.697,31.991
33.858,31.971
34.001,31.954
34.126,31.939
34.233,31.924
34.323,31.91
34.397,31.897
34.457,31.884
34.502,31.871
34.536,31.858
34.56,31.844
34.576,31.829
34.585,31.814
34.59,31.797
34.592,31.779
34.593,31.76
34.594,31.739
34.595,31.717
34.598,31.693
34.603,31.669
34.611,31.645
34.621,31.623
34.634,31.603
34.651,31.587
34.671,31.577
34.694,31.575
34.722,31.583
34.752,31.605
34.785,31.641
34.82,31.694
34.856,31.765
34.892,31.856
34.928,31.965
34.962,32.093
34.993,32.24
35.021,32.403
35.045,32.582
35.064,32.773
35.078,32.976
35.086,33.187
35.087,33.402
35.082,33.619
35.071,33.834
35.053,34.044
35.029,34.246
35,34.436
34.965,34.613
34.927,34.773
34.884,34.916
34.838,35.04
34.787,35.145
34.733,35.231
34.673,35.298
34.608,35.349
34.538,35.383
34.46,35.401
34.374,35.406
34.281,35.398
34.179,35.38
34.069,35.352
33.95,35.318
33.825,35.278
33.695,35.235
33.561,35.189
33.426,35.143
33.292,35.098
33.162,35.053
33.038,35.01
32.922,34.969
32.816,34.931
32.723,34.896
32.644,34.864
32.581,34.836
32.533,34.811
32.503,34.788
32.489,34.768
32.491,34.75
32.507,34.732
32.535,34.716
32.573,34.7
32.62,34.684
32.671,34.667
32.726,34.648
32.781,34.628
32.836,34.604
32.889,34.578
32.939,34.549
32.987,34.517
33.033,34.481
33.075,34.443
33.112,34.401
33.146,34.358
33.176,34.312
33.207,34.266
33.243,34.221
33.285,34.176
33.333,34.132
33.381,34.09
33.424,34.049
33.452,34.01
33.457,33.974
33.433,33.941
33.377,33.911
33.29,33.885
33.177,33.863
33.046,33.845
32.907,33.83
32.772,33.819
32.651,33.811
32.551,33.806
32.477,33.801
32.43,33.798
32.407,33.795
32.404,33.79
32.414,33.784
32.43,33.776
32.444,33.766
32.452,33.754
32.45,33.739
32.435,33.723
32.409,33.705
32.373,33.686
32.332,33.666
32.288,33.645
32.245,33.623
32.206,33.599
32.173,33.574
32.144,33.548
32.119,33.521
32.094,33.493
32.068,33.464
32.036,33.434
31.997,33.402
31.949,33.368
31.89,33.333
31.822,33.296
31.746,33.259
31.665,33.222
31.586,33.185
31.513,33.148
31.452,33.11
31.408,33.073
31.386,33.035
31.387,32.997
31.414,32.958
31.463,32.919
31.532,32.878
31.618,32.837
31.716,32.794
31.82,32.749
31.929,32.704
32.038,32.657
32.145,32.61
32.25,32.564
32.351,32.517
32.45,32.47
32.546,32.423
32.642,32.376
32.737,32.329
32.831,32.281
32.923,32.234
33.012,32.188
33.095,32.141
33.171,32.096
33.237,32.051
33.291,32.008
33.334,31.965
33.364,31.923
33.382,31.882
33.391,31.843
33.391,31.805
33.386,31.769
33.377,31.734
33.367,31.702
33.357,31.671
33.349,31.642
33.346,31.614
33.347,31.586
33.353,31.559
33.366,31.533
33.383,31.508
33.404,31.484
33.428,31.46
33.453,31.437
33.478,31.415
33.501,31.394
33.523,31.373
33.542,31.354
33.561,31.335
33.578,31.318
33.595,31.301
33.612,31.285
33.63,31.27
33.648,31.255
33.665,31.24
33.68,31.226
33.692,31.211
33.7,31.195
33.703,31.179
33.7,31.162
33.69,31.145
33.673,31.127
33.65,31.109
33.621,31.092
33.586,31.076
33.547,31.063
33.506,31.054
33.465,31.05
33.426,31.054
33.39,31.067
33.357,31.092
33.329,31.128
33.303,31.178
33.281,31.241
33.259,31.32
33.238,31.414
33.217,31.523
33.195,31.647
33.172,31.786
33.149,31.939
33.126,32.103
33.104,32.278
33.084,32.461
33.067,32.649
33.052,32.84
33.039,33.032
33.028,33.22
33.019,33.404
33.012,33.579
33.005,33.745
33,33.9
32.995,34.041
32.991,34.169
32.988,34.281
32.984,34.379
32.982,34.462
32.981,34.529
32.98,34.582
32.981,34.621
32.983,34.648
32.985,34.663
32.986,34.668
32.985,34.666
32.983,34.656
32.977,34.641
32.968,34.623
32.956,34.604
32.94,34.584
32.921,34.565
32.901,34.549
32.88,34.536
32.86,34.528
32.842,34.524
32.827,34.525
32.815,34.53
32.808,34.54
32.804,34.552
32.803,34.567
32.804,34.583
32.806,34.599
32.806,34.613
32.804,34.625
32.799,34.634
32.79,34.641
32.779,34.643
32.765,34.642
32.748,34.636
32.73,34.627
32.711,34.612
32.691,34.592
32.671,34.567
32.649,34.537
32.627,34.504
32.604,34.468
32.581,34.43
32.557,34.39
32.533,34.349
32.51,34.307
32.487,34.267
32.465,34.228
32.444,34.193
32.425,34.162
32.407,34.135
32.392,34.113
32.378,34.097
32.365,34.086
32.355,34.079
32.345,34.078
32.338,34.08
32.333,34.085
32.331,34.092
32.335,34.101
32.345,34.109
32.363,34.118
32.392,34.125
32.433,34.132
32.487,34.136
32.556,34.138
32.639,34.136
32.737,34.131
32.847,34.12
32.968,34.104
33.097,34.082
33.232,34.055
33.369,34.025
33.506,33.991
33.64,33.954
33.768,33.915
33.888,33.874
33.999,33.832
34.099,33.788
34.185,33.742
34.257,33.696
34.314,33.648
34.355,33.6
34.38,33.552
34.388,33.503
